titre,type_bien,type_annonce,prix,surface_m2,nb_chambres,nb_salons,nb_sdb,quartier,ville,description,source,date_publication,caracteristiques
نيمرو من سكتير 3 بلوكات,Terrain,Vente,4300000,600.0,,,,Tevragh Zeina,Nouakchott,"ذاك من سكتير 3
بلوكات السعر 43 مليون",voursa.com,2025-11-18,Taille rue: N/A | Proche de: بلوكات
شقق F3 مفروشة للإيجار,Appartement/Maison,Location,27000,216.0,2.0,2.0,,Tevragh Zeina,Nouakchott,"🏡 شقق F3 مفروشة للإيجار!

شقتان مفروشتان  تقعان في الطابق الأول على طريق نواذيبو، قرب Big Market.
استمتعوا براحة فندقية متكاملة: 🛋️ صالون، 🍴 مطبخ مجهز، 🛏️ غرفتان، 🚿 حمّامان.

💰 الإيجار الشهري: 270,000 أوقية قديمة (شامل الماء والكهرباء)

📞 للتواصل والحجز: 37454864",voursa.com,2025-11-13,type de location: Location au mois | 1 balcon(s) | Taille rue: N/A | Proche de: بيك مركيت ،حمام نيل 
دار أرضية فh3 مبيوعه معاه لفراش ,Appartement/Maison,Vente,4200000,216.0,3.0,2.0,,Teyarett,Nouakchott,"دار أرضية ف h3 حذي المدرسة الصفرة مبيوعه معاه لفراش كامل. 
فيها 3 ابيوت وجلسة وكراج وكوزين وحمامات
المساحة:216م
السعر:42 مليون معاها لفراش 
",voursa.com,2025-05-22,2 balcon(s) | Taille rue: 20.00 | Proche de: دار أرضية مفرشة للبيع 
نيمرو فكرن من سكتير 6 للبيع ,Terrain,Vente,7100000,700.0,,,,Tevragh Zeina,Nouakchott,السلام عليكم هذ نيمرو  فكرن من سكتير 6 مساحة 700م# بالقرب من كدروه اربعين مبيوع ب 71مليون للإستفسار اكثر اتصلوا على الرقم التالي 49546950,voursa.com,2025-12-10,Taille rue: 20.00 | Proche de: سكتير 6 
دار فعرفات بيت ابوليس,Appartement/Maison,Vente,800000,150.0,3.0,2.0,,Arafat,Nouakchott,دار مظبوطه فعرفات بيت ابوليس,voursa.com,2025-10-25,Titre foncier | 1 balcon(s) | Taille rue: 10.00 | Proche de: بيت ابوليس | Garage
بوتيك للبيع ,Local commercial,Location,100000,5.0,,,,Toujounine,Nouakchott,بوتيك للبيع دخل للنهار ممتاز مشاء الله مولاه بايعو للأمور شخصية ,voursa.com,2025-05-16,Taille rue: 0.00 | Proche de: توجنين اعلى كدور البلدية 
دار في سيت بلاج للإجار,Appartement/Maison,Location,20000,300.0,6.0,1.0,,Tevragh Zeina,Nouakchott,للإجار دار نظيفه فسيته بلاج كد مجمع ملكه فيه حوش وتقريبا ست غرف السعر 200الف مقدم ثلاث أشهر ,voursa.com,2025-11-25,type de location: Location au mois | 2 balcon(s) | Taille rue: 15.00 | Proche de: مجمع ملكه | Garage
300 من سكتير 1 بلوكات,Terrain,Vente,1750000,300.0,,,,Tevragh Zeina,Nouakchott,"300m²
من سكتير1 بين البنيان
ثمن :17.5",voursa.com,2025-11-02,Taille rue: N/A | Proche de: بلوكات
مجمع ديبلكاسات للايجار دار عزيز,Appartement/Maison,Location,25000,600.0,7.0,2.0,,Tevragh Zeina,Nouakchott,سعر 25000 حد كاري تلفنل 26678975.36147216,voursa.com,2025-10-01,Titre foncier | type de location: Location au mois | 1 balcon(s) | Taille rue: 25.00 | Proche de: دار عزيز
نيمرو من بوش 9 فرصة ذهبية ,Terrain,Vente,4200000,534.0,,,,Tevragh Zeina,Nouakchott,*72 من بوش 9 مبيوع حالا فرصة  ب 42 مليون*,voursa.com,2025-08-25,Taille rue: N/A | Proche de: بوش 9
أبرتماه للإيجار في الصكوك أجديد مافات أندخل ,Appartement/Maison,Location,12000,200.0,2.0,2.0,,Teyarett,Nouakchott,"أبرتماه للإيجار في الصكوك أجديد مافات أندخل ألا ب 120 ألف أفانص شهرين بالقرب من شهرزاد 
فيه صالون وبيت أركاد وجلسه أكبيره وجلسه أصغيره وكوزين ودوش ",voursa.com,2026-01-31,type de location: Location au mois | type de propriété: Appartement | Taille rue: N/A | Proche de: شهرزاد 
 سكتير 3 افنور ,Terrain,Vente,4000000,300.0,,,,Tevragh Zeina,Nouakchott,نصف نيمرو 300م٢ فكرن من سكتير 3 افنور بينها نيمرو واحد مع كدروه وبين الساكنة ,voursa.com,2025-03-28,Taille rue: 0.00 | Proche de: كدروه الشارة 
فرصه لاتعوض 200م من الفوز تواقطه زينين فاتح عل شارع كبير ,Terrain,Vente,1800000,200.0,,,,Teyarett,Nouakchott,فرصه لاتعوض 200م من الفوز البوادي قرب محمد لمين تواقطه زينين فاتح عل شارع كبير مبيوعه الا ب18 مليون للمزيد من تفاصيل تواصل معي عل واتساب 36707610,voursa.com,2025-08-02,Taille rue: N/A | Proche de: محمد لمين صاحب المشوي 
نيمرو فشرم الشيخ,Terrain,Vente,3150000,300.0,,,,Teyarett,Nouakchott,*457 من شرم الشيخ 300 م² ب 31 مليون و نصف*,voursa.com,2025-08-20,Taille rue: N/A | Proche de: شرم الشيخ
بلوكات سكتير 2,Terrain,Vente,4000000,700.0,,,,Tevragh Zeina,Nouakchott,نيمروات من بلوكات سكتير 2 كلهم فكرن واحد منهم إعلى شارع 30م سعر الواحد 40 مليون ,voursa.com,2025-05-02,Taille rue: N/A | Proche de: الجامعه 
ديبلكس فالكرن تفرغ زينة سكتير واحد اف نور  قرب جامبور ملاه عجلان اعل بيعه,Appartement/Maison,Vente,7800000,350.0,9.0,3.0,,Tevragh Zeina,Nouakchott,41665530,voursa.com,2025-04-16,2 balcon(s) | Taille rue: 18.00 | Proche de: كرفور جامبور 
مغسلة,Autre,Location,55000,20.0,,,,Toujounine,Nouakchott,مغسلة في ملح سكتير 1 على كدروه الدخلاني موقعها زين وبزبنائها وجاهزة وعندها مكان غسيل وسكن والإجار في المتناول.,voursa.com,2026-02-06,Taille rue: N/A | Proche de: ملح سكتير 1 كدروه الدخلاني
بوتيك في الكرن احذ المدرسة ,Local commercial,Location,2000,12.0,,,,Dar Naim,Nouakchott,بوتيك في لكرن احذ المدرسة اكريب من كدروه لاتحادية يؤجر بي 20 الف,voursa.com,2025-05-27,type de location: Location au mois | Taille rue: N/A | Proche de: كرفور الحي الساكن
ديبلكس فسانتر متير ,Autre,Vente,5900000,180.0,,,,Tevragh Zeina,Nouakchott,ديبلكس فتراب  ديدي ول أسويدي صانتر متير مساحة 180م² مبيوع ب 59 مليون,voursa.com,2025-04-26,Taille rue: N/A | Proche de: سانتر متير 
نمرو فصحراوي ,Terrain,Vente,6700000,400.0,,,,Tevragh Zeina,Nouakchott, وسعر نمرو صحراوي 67 مليون        وفم ذاك العرض4 ابرتمهات للبيـــــــــــــــــــــع في سوكوجيم عين الطلح مساحة 180م٢  فاتح على شارع كبير مدخلين 400 ألف مبيوع ب 50 مليون قابلة للتفاوض.واتساب 26678975.للاتصال 36147216,voursa.com,2025-06-24,Taille rue: N/A | Proche de: صحراوي
دار فكرن فالمنطقة الصناعية ,Appartement/Maison,Vente,2500000,400.0,4.0,1.0,,El Mina,Nouakchott,"تقع في المنطقة الصناعية في الميناء القديم.. ورف...
Zone industrielle du Wharf..
على كدروه المار. بين. فندق الاحمدى ..و الميناء الجديد ... 
المساحة 400  متر  مربع  ....
في كرن ...فاتحه  على  كدروه   مقابل   مصنع   اسمنت موريتانيا... و مقابل   شركة  تخزين الوقود ...MEPP.....
و يمر من جانبها الآخر. شارع. كبير 40 متر...
اوراقها كاملة و ..عندها   تيتر  فونسيه....
بها  7  بيوت  و مرافق ...
تصلح... للمصانع ... للمكاتب ...و المخازن و  مصانع السمك و  السكن ...و غير ذلك...
السعر   25   مليون أوقية قديمة.... 26678975=36147216
",voursa.com,2025-11-30,Titre foncier | 1 balcon(s) | Taille rue: 30.00 | Proche de: ورف
نيمرو فكرن اعلي شارع اكبير  من سكتير 3 افنور  للببع ,Terrain,Vente,6000000,600.0,,,,Tevragh Zeina,Nouakchott,"
السلام عليكم هذ نيمرو فكرن اعلي شارع اكبير  من سكتير 3 افتور مساحة 600م# مبيوع ب 60مليون للإستفسار اكثر اتصلوا على الرقم التالي 49546950
",voursa.com,2025-11-10,Taille rue: N/A | Proche de: سكتير 3 افنور 
ابارتماه معاصر ب200الف قرب كدروه جامبور تفرغ زينة مستقل فيه 3غ،ف و جلسة و كراج ,Appartement/Maison,Location,20000,150.0,3.0,2.0,,Tevragh Zeina,Nouakchott,ابارتماه معاصر ب200الف قرب كدروه جامبور تفرغ زينة مستقل فيه 3غ،ف و جلسة و كراج للمزيد 27828131,voursa.com,2025-05-19,1 balcon(s) | type de location: Location au mois | Taille rue: 25.00 | Proche de: قرب كدروه جامبور 
200م# فكرن من مدال m اسويت للبيع ,Terrain,Vente,1300000,200.0,,,,Tevragh Zeina,Nouakchott,"
السلام عليكم هذ 200م# فكرن من مدال m اسويت مبيوع ب 13مليون للإستفسار اكثر اتصلوا على الرقم التالي 49546950
",voursa.com,2025-06-30,Taille rue: N/A | Proche de: مدال m اسويت
دار فعين طلح ,Appartement/Maison,Vente,2400000,180.0,3.0,2.0,,Ksar,Nouakchott,"دار فعين طلح بلده استراتيجي حت كريب من كرفرر عين الطلح وفكرن❤️ وفاتحا فشارع كبييير احتمال يكدرن وفيه 3 بيوت 
صالون وهول كبير والكدام فيه دوش 
ومساحته 180 ولا 200 فيه اهله وتواقطه كونفورم
اهيه وفيه بيت من فوك فوكه ومبيوعه ب 24 مليون حد مهتم يتواصل معاي واتساب 27273277 حد عندو العقار اللبيع يتواصل معاي ",voursa.com,2025-04-14,1 balcon(s) | Taille rue: 18.00 | Proche de: عين طلح
دار بين كرفور آدرار و امحيرث,Appartement/Maison,Vente,1100000,150.0,3.0,2.0,,Toujounine,Nouakchott,دار بين كرفور آدرار و امحيرث فاتحه اعل كدروه فيه اثلت ابيوت و جلسة وكوزين ودوشات ,voursa.com,2025-10-11,Titre foncier | 1 balcon(s) | Taille rue: 20.00 | Proche de: كرفور آدرار  | Garage
شقة للإيجار,Appartement/Maison,Location,13000,120.0,3.0,2.0,,Tevragh Zeina,Nouakchott,"🌟 للإيجار في قلب تفرغ زينه – سكن راقٍ بمواصفات نظيفة وموقع مميز
🏠 شقة علوية مشتركة بالقرب من سكن السفير السعودي، في منطقة #سانتر_متير بتفرغ زينه – من أرقى وأهدأ أحياء العاصمة نواكشوط.
✨ مميزات الشقة:
🔹 ✨ تشطيبات فاخرة وعصرية
🔹 ❄️🔥 أجهزة تسخين في الحمامات
🔹 🧑‍🍳 مطبخ أنيق بسطح من الرخام الطبيعي
🔹 🌇 شرفة خارجية بإطلالة مفتوحة على أفق المدينة
🔹 🚗 فضاء خارجي مخصص لوقوف السيارات (أبركينك)
🔹 🎥🔐 نظام كاميرات مراقبة للحماية والأمان على مدار الساعة
🛋️ مكوّنات الشقة:
🛋️ صالون واسع ومريح
🛏️ غرفة نوم رئيسية
🧸 غرفة متوسطة تناسب الأطفال أو المكتب
🚿🚽 حمامان بتجهيزات نظيفة
🍳🌬️ مطبخ بتصميم عملي ومدخل خاص للتهوية الطبيعية
 🌇 بلكونة خارجية بإطلالة مفتوحة .
💼 مناسبة لـ:
الأزواج والعائلات الصغيرة الباحثة عن سكن راقٍ وآمن
موظفي الشركات والسفارات
كل من يبحث عن الاستقرار والهدوء في موقع مركزي
💰 السعر: 130 ألف أوقية قديمة
📞 للتواصل والحجز: 20101580 / 38193838
📱 واتساب: 38 19 38 38
📍 استثمر في راحتك وسكنك... وكن في المكان الذي يجمع بين الأناقة، الأمان، والموقع المثالي! ✨",voursa.com,2025-05-25,2 balcon(s) | type de location: Location au mois | Taille rue: 150.00 | Proche de: سكن السفير السعودي (كرفور ستيرنات) | Caméra de sécurité
نص نيمرو من سكتير 1 بلوكات,Terrain,Vente,2500000,300.0,,,,Tevragh Zeina,Nouakchott,"*فم نص 432 افكرن ب25 مليون , من  بلوكات سكتير 1*",voursa.com,2025-08-20,Taille rue: N/A | Proche de: طب القلب
ديكور بحميع انواع الحجارة الآدرارية و التركية,Local commercial/industriel,Location,5000,1.0,,,,Tevragh Zeina,Nouakchott,لا تترددوا في الاتصال بنا من أجل الحصول على أجود أنواع الديكورات بالحجارة الآدرارية الأصيلة تحت إشراف طاقم مختص في مجال الديكور بخبرة عشرة سنوات. الرجاء متابعة الصفحة و الاتصال بنا على المسنجر و الواتساب 36867783.,voursa.com,2025-03-26,Taille rue: N/A | Proche de: تزيين المنازل بالحجارة الآدرارية و التركية
فيلا للإيجار عند كرفور القدس,Appartement/Maison,Location,40000,800.0,5.0,3.0,,Tevragh Zeina,Nouakchott,السلام عليكم ورحمة الله عندن فيلا للإيجار الشهري في تفرغ زين عند كرفور القدس,voursa.com,2025-07-24,type de location: Location au mois | 2 balcon(s) | Taille rue: N/A | Proche de: كرفور القدس
نيمروين من بوش 9 ,Terrain,Vente,3500000,534.0,,,,Tevragh Zeina,Nouakchott,113 و 114 من بوش 9 كل واحد منهم ب 35 مليون,voursa.com,2025-08-13,Taille rue: N/A | Proche de: بوش 9
دار فبوحديده,Appartement/Maison,Vente,1000000,120.0,3.0,1.0,,Toujounine,Nouakchott,دار فبوحديده كدروه الدخلاني احذ بقالة حماس مكروية غير ماه منقوشة,voursa.com,2026-01-20,Titre foncier | type de propriété: Villa | 1 balcon(s) | Taille rue: 8.00 | Proche de: بقالة حماس  | Garage
منزل للايجار في لاس ابلماس ,Appartement/Maison,Location,30000,400.0,5.0,3.0,,Tevragh Zeina,Nouakchott,منزل للايجار في لاس ابلماس قريب من مدرسة ابن سينا ,voursa.com,2025-11-19,type de location: Location au mois | 1 balcon(s) | Taille rue: 20.00 | Proche de: ابن سينا 
نيمرو من الصحراوي للبيع ,Terrain,Vente,5250000,400.0,,,,Tevragh Zeina,Nouakchott,السلام عليكم هذ نيمرو مساحة 400م# من الصحراوي مبيوع52مليون واخمس مائة  للإستفسار اكثر اتصلوا على الرقم التالي 49546950,voursa.com,2026-01-30,Taille rue: 20.00 | Proche de: الصحراوي 
شانتية احذ كدروه النايب ,Appartement/Maison,Vente,700000,120.0,3.0,1.0,,Toujounine,Nouakchott,شانتية خاصه الا المقط احذ كدروه النايب يندخله من عند بقالة سعد الجاه ,voursa.com,2026-01-26,Titre foncier | type de propriété: Autre | 1 balcon(s) | Taille rue: 10.00 | Proche de: بقالة سعد الجاه  | Garage
نيمرو من سكتير 1 بلوكات,Terrain,Vente,2900000,600.0,,,,Tevragh Zeina,Nouakchott,303 من سكتير 1 بلوكات مبيوع ب 29 مليون هي التالية فيه,voursa.com,2025-12-07,Taille rue: N/A | Proche de: بلوكات
سمعة  حذي مجمع لؤلؤه للبيع ,Appartement/Maison,Vente,4200000,216.0,6.0,4.0,,Teyarett,Nouakchott,"سمعة علي شارع كبير حذي مجمع لؤلؤه في الكرن 
المساحة :216م
الاوراق:تامة
السعر:45مليون قابلة للنقاش
الواتساب:38713233
للتواصل:38723233",voursa.com,2025-05-20,2 balcon(s) | Taille rue: 20.00 | Proche de: حذي مجمع لؤلؤه البوادي 
375م# من سكتير 5 بينها نيمروين امع كدروه الشاره للببع ,Terrain,Vente,4500000,375.0,,,,Tevragh Zeina,Nouakchott,السلام عليكم هذ 375م# من سكتير 5 بينها نيمروين امع كدروه الشاره مبيوع ب 45ملبون للإستفسار اكثر اتصلوا على الرقم التالي 49546950,voursa.com,2025-12-18,Taille rue: 15.00 | Proche de: سكتير 5
دار فالمطار القديم ,Appartement/Maison,Vente,3000000,200.0,3.0,2.0,,Dar Naim,Nouakchott,دار فالمطار القديم ,voursa.com,2025-09-25,Titre foncier | 1 balcon(s) | Taille rue: 15.00 | Proche de: المطار القديم  | Garage
نص نيمرو من سكتير 5,Terrain,Vente,2000000,375.0,,,,Tevragh Zeina,Nouakchott,نص نيمرو 375m²  بين البنيان بلاصتو زين عند اظهر مطعم اترند,voursa.com,2025-04-10,Taille rue: 0.00 | Proche de: مطعم فان هاوس و مطعم تريند
300م# فكرن من مدال m لاول اعلي شارع الي لاه يكرن للببع ,Terrain,Vente,3000000,300.0,,,,Tevragh Zeina,Nouakchott,السلام عليكم هذ 300م# فكرن من مدال m لاول اعلي شارع الي لاه يكرن مبيوع ب 30مليون للإستفسار اكثر اتصلوا على الرقم التالي 49546950,voursa.com,2025-05-06,Taille rue: N/A | Proche de: مدال m لاول
دار للبيـــــــــــــــــــــع أفي H3 قرب من كدروه سنوار,Appartement/Maison,Vente,3800000,216.0,3.0,2.0,,Teyarett,Nouakchott,"فيلا أرضية للبيــــــــــــــــــــــع في h3 قرب مدرسة الجمهورية و كدروه السنوار 
فيه صالون و 3 بيوت وجلسة  و مرافق عمومية و كراج  فيه تهوية 
المساحة: 216 م² فاتح اعل بارك 
السعر : 38 مليون حد مهتم يتواصل معاي واتساب 27273277",voursa.com,2025-09-26,1 balcon(s) | Taille rue: 12.00 | Proche de: دار للبيـــــــــــــــــــــع أفي H3 قرب من كدروه سنوار
سمعة اكبيرة ؤنظيفة للبيع في المشروع ماهي ابعيد من كدروه كورونا ,Appartement/Maison,Vente,4100000,216.0,7.0,6.0,,Teyarett,Nouakchott,"سمعة اكبيرة للبيع في المشروع . ماهي ابعيد من كدروه كورونا 
نظيفة حته واكبيرة 

شارعها 12 وافكرن 
مساحتها 216م² ( 12 ف 18 )

اب 41 مليون قديمة 

41545765",voursa.com,2025-10-28,Titre foncier | 2 balcon(s) | Taille rue: 12.00 | Proche de: كدروه كورونا  | Garage
نيمرو من الصحراوي,Terrain,Vente,10000000,656.0,,,,Tevragh Zeina,Nouakchott,ب 100 من صحرواي,voursa.com,2025-07-08,Taille rue: N/A | Proche de: الصحراوي
نيمرو من سكتير 3 ف نور,Terrain,Vente,3700000,600.0,,,,Tevragh Zeina,Nouakchott,ب 37 من سكتير3 بلوكات,voursa.com,2025-12-09,Taille rue: N/A | Proche de: بلوكات
نص من سكتير 4,Terrain,Vente,2500000,300.0,,,,Tevragh Zeina,Nouakchott,*ذاك نص من سكتير 4 اضلاعو 10 × 30 مساحة 300م²  مبيوع ب 25 مليون*,voursa.com,2025-07-17,Taille rue: N/A | Proche de: سكتير 4
عندن ذاك دار للبيـــــــــــــــــــــع اف عرفات من كدافولكايل ,Appartement/Maison,Vente,1600000,180.0,3.0,2.0,,Arafat,Nouakchott,عندن ذاك دار للبيـــــــــــــــــــــع اف عرفات من كدافولكايل هي كامرات  مبيوعه ب 16مليون حد مهتم يتواصل معاي 27273277,voursa.com,2025-11-16,1 balcon(s) | Taille rue: 18.00 | Proche de: عندن ذاك دار للبيـــــــــــــــــــــع اف عرفات من كدافولكايل 
نيمرو فكرونا,Terrain,Vente,1250000,216.0,,,,Teyarett,Nouakchott,نيمرو فكورنا H3,voursa.com,2025-12-12,Taille rue: 6.00 | Proche de: كورونا 
نيروين للبيع ,Terrain,Vente,400000,800.0,,,,Dar Naim,Nouakchott,"فرصة نيمروين للبيع  كلهم فكرن
المساحه400الواحد
ب19و احد ب20 واتساب36368684 ",voursa.com,2025-12-11,Titre foncier | Taille rue: 12.00 | Proche de: نيمروين للبيع  فالمطار القديم بلوك 59
نصف نيمرو من سكتير 4 F Nord ,Terrain,Vente,2900000,250.0,,,,Tevragh Zeina,Nouakchott, نص نيمرو مساحته 250م² محوط ب 29 مليون قريب من كدروه الشارة ,voursa.com,2026-01-07,Titre foncier | Taille rue: 15.00 | Proche de: كدروه الشارة 
نيمرو من i5,Terrain,Vente,1650000,216.0,,,,Teyarett,Nouakchott,"*200 من i5  مبيوع ب  16,5 مليون*",voursa.com,2025-08-30,Taille rue: N/A | Proche de: i5
نص نيمرو من مدال d اسويت للبيع ,Terrain,Vente,1900000,300.0,,,,Tevragh Zeina,Nouakchott,السلام عليكم هذ نص نيمرو من مدال D اسويت مبيوع ب 19مليون للإستفسار اكثر اتصلوا على الرقم التالي 49546950,voursa.com,2025-04-11,Taille rue: N/A | Proche de: مدال D اسويت 
نيمرو من سكتير 2 بلوكات,Terrain,Vente,3300000,600.0,,,,Tevragh Zeina,Nouakchott,*نيمرو من سكتير 2  بلوكات على شارع عشرين وقريب من گدروه ستين مبيوع ب 33*,voursa.com,2025-07-11,Taille rue: N/A | Proche de: طب القلب
سمعة للبيع فا E nord احذ كرفور Snde,Appartement/Maison,Vente,9500000,700.0,8.0,4.0,,Tevragh Zeina,Nouakchott,"سمعة للببع من اه نور كريب من كرفور SNDE مزلت زين فكرن
المساحة 700m
السعر 95 مليون
حد مهتم بيه يتواصل امعان 22576577",voursa.com,2025-05-04,2 balcon(s) | Taille rue: 20.00 | Proche de: احذ كرفور Snde | Caméra de sécurité
فرصة نيمرو فاتح ف بارك ف المطار للبيع ,Terrain,Vente,1050000,180.0,,,,Dar Naim,Nouakchott,"عندنا ذاك النيمرو رقم 48 من بلوك 65 فاتح ف بارك و فكرن المساحة 180م٢ بلو زين ما فيه الملح و اوراقو مستقلين 
السعر : 10.500.000
للاتصال : 36897338
الواتساب : 36897338",voursa.com,2026-02-25,Titre foncier | Taille rue: 12.00 | Proche de: المطار القديم
نيمرو من سكتير 5,Terrain,Vente,8500000,500.0,,,,Tevragh Zeina,Nouakchott,نيمرو من سكتير 5 في الكٍرن وأعل شواع أكبار مساحة 500 ينباع في أبلد وتنباع من 200 أوحدها ,voursa.com,2025-03-26,Taille rue: N/A | Proche de: أحذ الصحراوي 
 أرض للبيع في زاوية قرب المطار القديم – تينسويلم ,Terrain,Vente,520000,260.0,,,,Dar Naim,Nouakchott,"قطعة أرض بمساحة 20 × 16 مترًا، تقع في زاوية وعلى شارع واسع، على بعد أقل من 80 مترًا من المطار القديم، في حي تينسويلم.

موقع استراتيجي في منطقة مأهولة بالكامل، محاطة بـ منازل راقية
فرصة ممتازة لمشروع سكني أو تجاري


Terrain de 20x16 en angle, sur une grande rue, à moins de 80m de l’ancien aéroport (quartier Tinsouelim).
Très bon emplacement, zone bien habitée avec des maisons de standing. Parfait pour construire ou investir.


Tel : 46510121
WhatsApp : 0033751399253
",voursa.com,2025-05-31,Taille rue: 0.00 | Proche de: ancien aéroport
سمعه بدخله طريك اكجوجت,Appartement/Maison,Vente,4500000,250.0,7.0,1.0,,Teyarett,Nouakchott,سعر 45 مليون  حد شاري تلفنل 26678975.36147216,voursa.com,2025-10-01,Titre foncier | 1 balcon(s) | Taille rue: 30.00 | Proche de: بقاله المسافر
16ابرتماه فبوحديد دخلهم زين,Appartement/Maison,Vente,9700000,300.0,16.0,16.0,,Toujounine,Nouakchott,"السعر 97 مليون قابل للنقاش دخلهم مليون زابد  
واتساب 26678975
للاتصال 36147216",voursa.com,2025-04-06,16 balcon(s) | Taille rue: 25.00 | Proche de: ربينه لول
تراب الاسكان لول,Terrain,Vente,2000000,312.0,,,,Tevragh Zeina,Nouakchott,"نيمروين للبيع فا من تراب الاسكان لول لصاد اعل موديل M
كلهم مساحة 312م
سعر لواحد لاخير 20 مليون
حد مهتم بيه واتساب  22576577",voursa.com,2025-04-24,Taille rue: N/A | Proche de: تراب الاسكان لول
نيمرو أفكرن من سكتير 5 قرب المدرسة الجمهورية ,Terrain,Vente,9500000,875.0,,,,Tevragh Zeina,Nouakchott,نيمرو أفكرن من سكتير 5 قرب المدرسة الجمهورية المساحة 875م٢ مبيوع ب 95 مليون ,voursa.com,2025-10-20,Taille rue: N/A | Proche de: المدرسه الجمهورية 
نيمرو فالمطار القديم,Terrain,Vente,1900000,400.0,,,,Tevragh Zeina,Nouakchott,*84 من بلوك 44  مطار القديم  بلاصتو بيظة  زينة صالحه للسكن  ب 19 مليون*,voursa.com,2025-09-02,Taille rue: N/A | Proche de: المطار القديم
القطاع 2,Terrain,Vente,350000,180.0,,,,Toujounine,Nouakchott,قطعة أرض للبيع، تقع على شارع رئيسي.,voursa.com,2025-04-17,Taille rue: N/A | Proche de: مجمع برج خليفة 
ديبلكس,Appartement/Maison,Vente,4200000,200.0,6.0,2.0,,Tevragh Zeina,Nouakchott,"ديبلكس جديد.  المنطقة 📍تفرق زينه بالقرب من قصر المأتمرات القديم 
",voursa.com,2025-12-11,Titre foncier | type de propriété: Duplex | 1 balcon(s) | Taille rue: 20.00 | Proche de: قصر المأتمرات | Garage
فرصة 300 متر ف سكتير 3 بينها مع كدروه نيمرو واحد ,Terrain,Vente,3100000,300.0,,,,Tevragh Zeina,Nouakchott,فرصة 300 للبيع ف سكتير 3 الموقع جيد ,voursa.com,2025-12-09,Taille rue: N/A | Proche de: سكتير 3
